duration_sec,start_station_name,end_station_name,bike_id,user_type,member_gender,bike_share_for_all_trip,duration_min,start_date,start_hour,start_weekday,start_month,member_age,dist
448,14th St at Mission St,Howard St at 8th St,5253,Customer,Male,No,7.466666666666667,2019-02-28,22,Thursday,February,26,1.1999783041408676
1471,24th St at Bartlett St,Leavenworth St at Broadway,6372,Subscriber,Male,No,24.516666666666666,2019-02-28,22,Thursday,February,30,4.939668224831468
499,San Pedro Square,Locust St at Grant St,4061,Subscriber,Female,Yes,8.316666666666666,2019-02-28,22,Thursday,February,43,1.6305977885060574
325,Powell St BART Station (Market St at 5th St),San Francisco Caltrain Station 2  (Townsend St at 4th St),5012,Subscriber,Male,No,5.416666666666667,2019-02-28,22,Thursday,February,29,1.3931011922026981
418,Jackson Playground,Victoria Manalo Draves Park,4638,Subscriber,Male,No,6.966666666666667,2019-02-28,22,Thursday,February,25,1.5708992773075499
271,Market St at Franklin St,Market St at Dolores St,1916,Subscriber,Male,No,4.516666666666667,2019-02-28,22,Thursday,February,31,0.7001047426611051
1300,Harrison St at 20th St,Lombard St at Columbus Ave,4719,Subscriber,Female,No,21.666666666666668,2019-02-28,22,Thursday,February,37,4.880542207978445
397,Folsom St at 19th St,Sanchez St at 17th St,6114,Subscriber,Male,No,6.616666666666666,2019-02-28,22,Thursday,February,24,1.4247375252271828
216,College Ave at Taft Ave,45th St at Manila,5701,Subscriber,Male,No,3.6,2019-02-28,22,Thursday,February,55,1.0316186665476892
483,Rhode Island St at 17th St,23rd St at San Bruno Ave,2840,Subscriber,Male,No,8.05,2019-02-28,22,Thursday,February,31,1.127776389373251
891,San Fernando St at 4th St,Morrison Ave at Julian St,3500,Subscriber,Male,Yes,14.85,2019-02-28,22,Thursday,February,26,2.0419926477262056
449,17th St at Valencia St,Sanchez St at 15th St,6525,Subscriber,Female,No,7.483333333333333,2019-02-28,22,Thursday,February,28,0.8671322102800225
384,17th St at Valencia St,Sanchez St at 15th St,6464,Subscriber,Male,No,6.4,2019-02-28,22,Thursday,February,28,0.8671322102800225
564,Grove St at Masonic Ave,Koshland Park,6254,Customer,Male,No,9.4,2019-02-28,22,Thursday,February,41,1.69743775755294
527,Grove St at Masonic Ave,Koshland Park,4364,Subscriber,Female,No,8.783333333333333,2019-02-28,22,Thursday,February,37,1.69743775755294
336,Shattuck Ave at Hearst Ave,Fulton St at Bancroft Way,4540,Subscriber,Female,No,5.6,2019-02-28,22,Thursday,February,22,0.6929836692611473
478,Mission Playground,Folsom St at 9th St,3569,Subscriber,Male,No,7.966666666666667,2019-02-28,22,Thursday,February,34,1.8242652246123816
